primary_cluster	secondary_cluster	Domain	Phylum	Class	Order	Family	Genus	Species
155	155_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Pelethomonas	Pelethomonas sp022800665
104	104_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp003611805
50	50_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1405	UBA1405 sp910589145
148	148_15	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp022798855
NA	NA	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp910587705
151	151_18	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp910585815
NA	NA	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp910585815
68	68_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp009774455
163	163_2	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp910583785
2	2_1	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
148	148_17	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp022798855
38	38_1	Bacteria	Bacillota_A	Clostridia	Christensenellales	UBA3700	MGBC100798	MGBC100798 sp910584975
170	170_2	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	Angelakisella sp022795575
NA	NA	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Anaerotignaceae	Coprocola	Coprocola sp910587735
165	165_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp910588005
92	92_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	Clostridium_Q sp009911305
87	87_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Ventrimonas	Ventrimonas sp022799175
117	117_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Merdisoma	Merdisoma sp910574835
164	164_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp910583695
86	86_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Ventrimonas	Ventrimonas sp910577765
77	77_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens sp910575835
74	74_0	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens sp910579015
56	56_1	Bacteria	Bacillota	Bacilli	RF39	UBA660	MGBC107952	MGBC107952 sp910578855
110	110_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp009911035
167	167_2	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp000403435
148	148_9	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp022798855
125	125_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	Kineothrix sp011958945
166	166_1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp910585385
137	137_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910587755
NA	NA	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp022798855
143	143_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910587555
116	116_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Merdisoma	Merdisoma sp011959465
153	153_2	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	NSJ-51	NSJ-51 sp910585415
103	103_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp910575775
102	102_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp009774175
29	29_1	Bacteria	Bacillota	Bacilli	RF39	UBA660	CAG-582	CAG-582 sp910588195
151	151_19	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
89	89_0	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Ventrimonas	Ventrimonas sp009911065
118	118_0	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Merdisoma	Merdisoma sp009917555
76	76_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens sp910585725
78	78_2	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	
120	120_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp011959925
108	108_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910579755
148	148_18	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp022798855
151	151_21	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp910585815
121	121_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter	Butyribacter sp910579085
156	156_2	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Pelethomonas	Pelethomonas sp022795905
NA	NA	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp022794495
133	133_1	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp000403215
92	92_2	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	Clostridium_Q sp910575795
